File,Start date,Sheraton,Type,Num,Rep-name-DUN,Rep-name,DUN,Question
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 11,YB TUAN MUHAMAD SAID BIN JONIT (MAHKOTA),YB TUAN MUHAMAD SAID BIN JONIT,MAHKOTA,"Apakah perancangan kerajaan negeri untuk membenarkan lebih ramai jemaah di masjid, sebagai contoh membenarkan penerima 2 dos vaksin untuk berjemaah di masjid."
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 12,YB DATO’ IR SYED SIS BIN SYED ABDUL RAHMAN (TANJUNG SURAT),YB DATO’ IR SYED SIS BIN SYED ABDUL RAHMAN,TANJUNG SURAT,"Bilakah Projek Perumahan Rakyat (PPR), Pengerang di Kg Punggai akan siap sepenuhnya?."
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 13,YB PUAN CHEW PECK CHOO (YONG PENG),YB PUAN CHEW PECK CHOO,YONG PENG,Bilakah laluan baru Bas Muafakat Johor dari Yong Peng-Kangkar Bahru dan Yong Peng-Kota Impian-Taman Sri Wangi-Taman Berjaya akan dimulakan?
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 14,YB TUAN TAN CHEN CHOON (JEMENTAH),YB TUAN TAN CHEN CHOON,JEMENTAH,Berapakah jumlah pelabur luar negara yang telah menggulung tikar di Negeri Johor semenjak tercetusnya wabak Covid-19 ? Bagaimanakah kerajaan Negeri Johor dapat mempastikan ekonomi Johor terus membangun dan Johor adalah destinasi yang tertarik kepada pelabur-pelabur luar negara.
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 15,YB TUAN MD. YSAHRUDDIN BIN KUSNI (BUKIT NANING),YB TUAN MD. YSAHRUDDIN BIN KUSNI,BUKIT NANING,"Mohon penjelasan bagi harga keperluan khususnya harga minyak masak yang seolah-oleh tiada pengawalan sejak PKP dilaksanakan, bagaimana untuk mengawal harga minyak masak supaya tidak menindas pengguna."
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 16,YB TUAN MD. YSAHRUDDIN BIN KUSNI (BUKIT NANING),YB TUAN MD. YSAHRUDDIN BIN KUSNI,BUKIT NANING,"Sektor pertanian seperti penanaman nenas di kawasan Bukit Naning menerima kesan akibat PKP yang berlarutan, apakah inisiatif kerajaan dalam menangani isu ini supaya pekebun tidak menerima kerugian yang besar?"
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 17,YB TUAN MUHAMAD SAID BIN JONIT (MAHKOTA),YB TUAN MUHAMAD SAID BIN JONIT,MAHKOTA,Pelaksanaan PDPR telah mendedahkan betapa masih banyak kawasan kampung masih tiada capaian internet. Mengapakah tiada saluran rasmi untuk ADUN untuk memohon pihak TM memasang infrastruktur sebaliknya perlu menghantar surat secara persendirian memohon belas kasihan melalui surat kepada pihak atasan TM.
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 18,YB TUAN HAJI ROSLELI BIN JAHARI (JOHOR LAMA),YB TUAN HAJI ROSLELI BIN JAHARI,JOHOR LAMA,"Mohon naik taraf kemudahan dan perkhidmatan di Hospital Kota Tinggi dengan menambah saiz keluasan bangunan hospital dan tempatkan doktor pakar. Pada ketika ini, pesakit dari hospital ini perlu ke HSA atau HSI untuk bertemu doktor pakar."
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 19,YB TUAN MUHAMAD SAID BIN JONIT (MAHKOTA),YB TUAN MUHAMAD SAID BIN JONIT,MAHKOTA,"Adakah kerajaan negeri menerima cadangan agar sektor perladangan kelapa sawit dilindungi dengan memastikan pekebun divaksin secara keseluruhan, dengan menggesa FELDA yang mempunyai banyak tanah rancangan di Johor menanggung kos vaksinasi Covid-19?"
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 20,YB PUAN RASHIDAH BINTI ISMAIL (PASIR RAJA),YB PUAN RASHIDAH BINTI ISMAIL,PASIR RAJA,N/A
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 21,YB TUAN DR. SULAIMAN BIN MOHD NOR (KEMELAH),YB TUAN DR. SULAIMAN BIN MOHD NOR,KEMELAH,"Dengan capaian Internet dan akses yang terhad ditambah dengan pergerakan terhad waktu PKP dan Lockdown, berapakah peratus keberkesanan sistem pemantauan Pengajaran dan Pembelajaran di Rumah (PdPR) yang dilaksana Kementerian Pendidikan Malaysia bagi Negeri Johor?"
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 22,YB TUAN MOHD. KHUZZAN BIN ABU BAKAR (SEMERAH),YB TUAN MOHD. KHUZZAN BIN ABU BAKAR,SEMERAH,"Dalam norma baharu masyarakat, peranti menjadi sebahagian dari kehidupan mereka. Oleh itu, apakah usaha kerajaan negeri dalam mempromosikan makanan serta masakan tradisi orang Johor mengikut kaedah teknologi terkini serta langkah-langkah yang telah diambil."
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 23,YB TUAN TEE BOON TSONG (SENAI),YB TUAN TEE BOON TSONG,SENAI,N/A
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 24,YB TUAN SR. DZULKEFLY BIN AHMAD (KOTA ISKANDAR),YB TUAN SR. DZULKEFLY BIN AHMAD,KOTA ISKANDAR,N/A
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 25,YB PUAN GAN PECK CHENG (PENGGARAM),YB PUAN GAN PECK CHENG,PENGGARAM,"Peningkatan ujian saringan amat diperlukan jika imuniti kelompok ingin dicapai secepat mungkin, selain dapat mengenal pasti lokasi hotspot. Mengapa Jabatan Kesihatan negeri dan daerah tidak membenarkan program ujian saringan RTK secara pandu-lalu dijalankan oleh pejabat ADUN dengan kerjasama pihak swasta?"
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 26,YB TUAN DR. RAMAKRISHNAN A/L SUPPIAH (BEKOK),YB TUAN DR. RAMAKRISHNAN A/L SUPPIAH,BEKOK,Apakah bantuan-bantuan yang diberikan oleh Kerajaaan Negeri bagi pelajar-pelajar miskin yang menghadapi masalah untuk mengikuti kelas dalam talian?
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 27,YB TUAN HAHASRIN BIN HASHIM (PANTI),YB TUAN HAHASRIN BIN HASHIM,PANTI,"Minta penjelasan tentang status penyerahan aset Lembaga Kemajuan Johor Tenggara (KEJORA) kepada Majlis Daerah Kota Tinggi (MDKT), misalnya loji pembetungan, dewan serba guna, tanah rizab dan beberapa lain."
SOALAN-DAN-JAWAPAN-LISAN-YANG-TIDAK-HABIS-DIJAWAB-PADA-22-OGOS-2021.pdf,22/08/2021,After,Lisan,SOALAN 28,YB TUAN IR. HAJI KHAIRUDDIN BIN A RAHIM (SENGGARANG),YB TUAN IR. HAJI KHAIRUDDIN BIN A RAHIM,SENGGARANG,N/A
